run,best_treatment_frac,optimized_visits,baseline_visits,visits_increase,visits_increase_pct
1,0.81,9848.99682934098,9213.155699853602,635.8411294873786,6.9014477796948785
2,0.81,9848.99682934098,9213.155699853602,635.8411294873786,6.9014477796948785
3,0.81,9848.99682934098,9213.155699853602,635.8411294873786,6.9014477796948785
4,0.81,9848.99682934098,9213.155699853602,635.8411294873786,6.9014477796948785
5,0.81,9848.99682934098,9213.155699853602,635.8411294873786,6.9014477796948785
6,0.81,9848.99682934098,9213.155699853602,635.8411294873786,6.9014477796948785
7,0.81,9848.99682934098,9213.155699853602,635.8411294873786,6.9014477796948785
8,0.81,9848.99682934098,9213.155699853602,635.8411294873786,6.9014477796948785
9,0.81,9848.99682934098,9213.155699853602,635.8411294873786,6.9014477796948785
10,0.81,9848.99682934098,9213.155699853602,635.8411294873786,6.9014477796948785
11,0.81,9848.99682934098,9213.155699853602,635.8411294873786,6.9014477796948785
12,0.81,9848.99682934098,9213.155699853602,635.8411294873786,6.9014477796948785
13,0.81,9848.99682934098,9213.155699853602,635.8411294873786,6.9014477796948785
14,0.81,9848.99682934098,9213.155699853602,635.8411294873786,6.9014477796948785
15,0.81,9848.99682934098,9213.155699853602,635.8411294873786,6.9014477796948785
16,0.81,9848.99682934098,9213.155699853602,635.8411294873786,6.9014477796948785
17,0.81,9848.99682934098,9213.155699853602,635.8411294873786,6.9014477796948785
18,0.81,9848.99682934098,9213.155699853602,635.8411294873786,6.9014477796948785
19,0.81,9848.99682934098,9213.155699853602,635.8411294873786,6.9014477796948785
20,0.81,9848.99682934098,9213.155699853602,635.8411294873786,6.9014477796948785
21,0.81,9848.99682934098,9213.155699853602,635.8411294873786,6.9014477796948785
22,0.81,9848.99682934098,9213.155699853602,635.8411294873786,6.9014477796948785
23,0.81,9848.99682934098,9213.155699853602,635.8411294873786,6.9014477796948785
24,0.81,9848.99682934098,9213.155699853602,635.8411294873786,6.9014477796948785
25,0.81,9848.99682934098,9213.155699853602,635.8411294873786,6.9014477796948785
26,0.81,9848.99682934098,9213.155699853602,635.8411294873786,6.9014477796948785
27,0.81,9848.99682934098,9213.155699853602,635.8411294873786,6.9014477796948785
28,0.81,9848.99682934098,9213.155699853602,635.8411294873786,6.9014477796948785
29,0.81,9848.99682934098,9213.155699853602,635.8411294873786,6.9014477796948785
30,0.81,9848.99682934098,9213.155699853602,635.8411294873786,6.9014477796948785
31,0.81,9848.99682934098,9213.155699853602,635.8411294873786,6.9014477796948785
32,0.81,9848.99682934098,9213.155699853602,635.8411294873786,6.9014477796948785
33,0.81,9848.99682934098,9213.155699853602,635.8411294873786,6.9014477796948785
34,0.81,9848.99682934098,9213.155699853602,635.8411294873786,6.9014477796948785
35,0.81,9848.99682934098,9213.155699853602,635.8411294873786,6.9014477796948785
36,0.81,9848.99682934098,9213.155699853602,635.8411294873786,6.9014477796948785
37,0.81,9848.99682934098,9213.155699853602,635.8411294873786,6.9014477796948785
38,0.81,9848.99682934098,9213.155699853602,635.8411294873786,6.9014477796948785
39,0.81,9848.99682934098,9213.155699853602,635.8411294873786,6.9014477796948785
40,0.81,9848.99682934098,9213.155699853602,635.8411294873786,6.9014477796948785
41,0.81,9848.99682934098,9213.155699853602,635.8411294873786,6.9014477796948785
42,0.81,9848.99682934098,9213.155699853602,635.8411294873786,6.9014477796948785
43,0.81,9848.99682934098,9213.155699853602,635.8411294873786,6.9014477796948785
44,0.81,9848.99682934098,9213.155699853602,635.8411294873786,6.9014477796948785
45,0.81,9848.99682934098,9213.155699853602,635.8411294873786,6.9014477796948785
46,0.81,9848.99682934098,9213.155699853602,635.8411294873786,6.9014477796948785
47,0.81,9848.99682934098,9213.155699853602,635.8411294873786,6.9014477796948785
48,0.81,9848.99682934098,9213.155699853602,635.8411294873786,6.9014477796948785
49,0.81,9848.99682934098,9213.155699853602,635.8411294873786,6.9014477796948785
50,0.81,9848.99682934098,9213.155699853602,635.8411294873786,6.9014477796948785
